mes,NomBandeiraAcionada,nivel,ena_pct_mlt_nordeste,ena_pct_mlt_norte,ena_pct_mlt_sudeste,ena_pct_mlt_sul,ena_nacional_mwmed,ena_nacional_pct_mlt_media_subsis,novas_conexoes,potencia_nova_kw,potencia_acumulada_kw,potencia_acumulada_mw,conexoes_acumuladas
2020-04,Verde,0,102.19433390333333,113.75030339566666,86.848299662,15.536659908666667,2731912.16754159,79.58239921741666,10504,138264.56,2677089.5,2677.0895,222933
2020-05,Verde,0,80.4729737316129,117.77691552064516,79.6475775932258,20.20750015064516,1959896.1236574,74.52624174903225,9435,133096.55,2810186.05,2810.18605,232368
2020-06,Verde,0,74.26246604933334,116.240496318,77.160532889,67.64466915199999,1444084.0631104999,83.82704110208333,12620,182433.96,2992620.01,2992.6200099999996,244988
2020-07,Verde,0,64.19377111612904,108.53287432258064,79.42949430419355,121.67148946967743,1298578.90136733,93.45690730314516,14606,197148.96,3189768.9699999997,3189.7689699999996,259594
2020-08,Verde,0,66.1782451751613,95.02395186870969,85.14470943354839,97.36095157741936,1007809.55517584,85.92696451370968,14639,180524.27,3370293.2399999998,3370.29324,274233
2020-09,Verde,0,58.88253339166667,99.85856348666667,66.03013038733333,43.284619713,663693.30395515,67.01396174466667,14495,202117.21,3572410.4499999997,3572.41045,288728
2020-10,Verde,0,55.954016162258064,76.9361486135484,52.836264333548385,20.629799996451613,586242.37951665,51.58905727645161,18948,249716.16,3822126.61,3822.12661,307676
2020-11,Verde,0,88.23679644366666,100.015890376,59.914000193666666,21.627389971333333,887412.29150404,67.44851924616667,21747,256657.93,4078784.54,4078.78454,329423
2020-12,Vermelha P2,3,45.61098381774194,64.41902542032258,63.56556184935484,93.40928354612905,1467166.29052749,66.7512136583871,24596,282362.11,4361146.65,4361.146650000001,354019
2021-01,Amarela,1,46.96789981516129,46.28046146548387,69.89463240129032,154.3221869935484,2203890.76855481,79.36629516887098,20714,259841.51,4620988.16,4620.98816,374733
2021-02,Amarela,1,42.45140750142857,63.73836408285714,72.48750346071428,122.88541180714286,2295069.09472662,75.3906717130357,24016,249865.31,4870853.47,4870.85347,398749
2021-03,Amarela,1,69.69823517354838,110.78683840903226,74.65768026483872,69.95696110838709,2979057.95996106,81.27492873895162,31034,341524.63,5212378.1,5212.3781,429783
2021-04,Amarela,1,34.62503668433333,82.77902272466666,63.435916645666666,35.09269669933334,1904996.04418954,53.9831681885,26178,272334.62,5484712.72,5484.7127199999995,455961
2021-05,Vermelha P1,2,36.90241912129032,83.68557394741936,63.39138400064516,29.303516141612903,1473260.61828624,53.32072330274194,28784,315307.07,5800019.79,5800.01979,484745
2021-06,Vermelha P2,3,38.29156023633333,69.69428393066667,66.094907125,58.217903074,1104997.41394056,58.0746635915,27089,294096.29,6094116.08,6094.11608,511834
2021-07,Vermelha P2,3,42.26897381258065,80.15459626709676,61.224190742903225,42.569293483548385,812176.43054207,56.55426357653226,30456,338966.03,6433082.11,6433.08211,542290
2021-08,Vermelha P2,3,43.486470744193554,80.53944864612903,59.57806138096774,33.10755791193548,607042.77087408,54.17788467080645,38962,413513.08,6846595.19,6846.59519,581252
2021-09,Escassez Hídrica,4,44.59324976566667,80.72986729966667,56.412680054333336,65.888056183,656688.66394048,61.90596332566667,40073,396053.94,7242649.130000001,7242.649130000001,621325
2021-10,Escassez Hídrica,4,43.49371602483871,85.45513153,94.15381265451613,92.82852886548388,1173917.7520753199,78.98279726870969,41848,412198.87,7654848.000000001,7654.848000000001,663173
2021-11,Escassez Hídrica,4,82.108006414,149.12976557433333,93.28933334333333,55.78503646833334,1345726.06665051,95.07803545,52759,491234.43,8146082.430000001,8146.08243,715932
2021-12,Escassez Hídrica,4,101.04037155709678,187.39256483451612,88.94377406935483,29.518261447741935,2180703.15344246,101.72374297717742,61621,567987.78,8714070.21,8714.070210000002,777553
2022-01,Escassez Hídrica,4,132.0500485816129,222.04804500451613,108.97398696451611,37.12713536935484,3947494.36535656,125.04980398,46440,435332.0,9149402.21,9149.40221,823993
2022-02,Escassez Hídrica,4,147.35196440642858,135.0158418932143,110.08590752857143,33.254821435714284,3708923.77441417,106.42713381598215,54483,503456.41,9652858.620000001,9652.85862,878476
2022-03,Escassez Hídrica,4,122.17728990096775,121.42044215032259,76.59698412451613,98.79358303903226,3403320.55346694,104.74707480370968,61713,603288.3,10256146.920000002,10256.146920000001,940189
2022-04,Escassez Hídrica,4,65.98685010366667,109.18696950233334,74.922517013,155.39206822733334,2646127.99316419,101.37210121158334,57498,543517.96,10799664.880000003,10799.664880000002,997687
